file,model_pair,strategy,dvfs_condition,dataset,rep,wall_time_s,total_tokens,alpha_mean,gpu_energy_Wh,total_energy_Wh,tokens_per_s,gpu_wh_per_1k,total_wh_per_1k,edp_gpu,edp_total,sm_clock_levels,clock_toggled,power_mw_mean,temp_c_max,f_high,f_low,batch_size,max_model_len,sm_count,sm_total
llama_8b_1b_base__spec_g12__off__gsm8k__rep0.json,llama_8b_1b_base,spec_g12,off,gsm8k,0,46.32867479324341,13104,0.7288261897420084,4.440677996984055,6.715144164830121,282.8485826214717,0.33887957852442424,0.5124499515285501,205.73072678378583,311.10373020216076,11,True,323213.78656914894,74,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__off__humaneval__rep0.json,llama_8b_1b_base,spec_g12,off,humaneval,0,28.44702935218811,8965,0.7381878664862427,2.710592446249993,4.234599292612133,315.14714204456726,0.3023527547406573,0.4723479411725747,77.10830288029292,120.46177037169235,12,True,315293.2434600628,70,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__two_level__cnndm__rep0.json,llama_8b_1b_base,spec_g12,two_level,cnndm,0,93.92405867576599,7898,0.7286333099888466,4.789981054204029,9.275156811916123,84.08921112815814,0.6064802550270991,1.174367790822502,449.8944615908666,871.1603726293405,20,True,184375.3791055206,64,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__two_level__gsm8k__rep0.json,llama_8b_1b_base,spec_g12,two_level,gsm8k,0,74.7907350063324,13104,0.7288261897420084,4.049646017492026,7.642212988246284,175.20886776805318,0.309038920748781,0.5831969618625065,302.87600216369543,571.5667264658795,20,True,194980.2490460816,64,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g12__two_level__humaneval__rep0.json,llama_8b_1b_base,spec_g12,two_level,humaneval,0,47.472883462905884,8965,0.7455088015432842,2.5132422883699657,4.919519356852007,188.84464869308025,0.28033935174232744,0.548747279068824,119.31085826983428,233.54376912134504,21,True,189664.9434131067,62,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__adaptive_alpha__cnndm__rep0.json,llama_8b_1b_base,spec_g18,adaptive_alpha,cnndm,0,123.64970374107361,7916,0.7179901622084033,6.411334017951964,12.261732667887598,64.01956301145981,0.8099209219241995,1.5489808827548759,792.7595519048274,1516.1596117365457,22,True,186809.88839365306,56,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__adaptive_alpha__gsm8k__rep0.json,llama_8b_1b_base,spec_g18,adaptive_alpha,gsm8k,0,100.05204129219055,12964,0.7293743678659154,5.465920761621945,10.289870644753972,129.57256876089235,0.42162301462680846,0.7937265230448913,546.8765297416404,1029.522562640224,19,True,196175.62556623577,57,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__adaptive_alpha__humaneval__rep0.json,llama_8b_1b_base,spec_g18,adaptive_alpha,humaneval,0,57.22602081298828,8844,0.7514018023637344,3.081696076466023,5.919257985285505,154.54508061816392,0.34845048354432645,0.6692964705207491,176.35320381114894,338.73558066339535,20,True,190934.51079812206,55,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__adaptive_entropy__cnndm__rep0.json,llama_8b_1b_base,spec_g18,adaptive_entropy,cnndm,0,123.89785051345825,7916,0.7099876161914567,6.4048856794600155,12.275236781104292,63.891342482492334,0.8091063263592743,1.5506868091339427,793.5515684695265,1520.875451722564,21,True,185807.13909237093,55,1935,735,8,2048,82,82
llama_8b_1b_base__spec_g18__adaptive_entropy__gsm8k__rep0.json,llama_8b_1b_base,spec_g18,adaptive_entropy,gsm8k,0,99.76419019699097,12964,0.7293743678659154,5.4581576998560255,10.205381284518783,129.94642641213974,0.4210241977673577,0.7872092937765183,544.5286828936073,1018.1315995015439,19,True,196305.98506637168,57,1935,735,8,2048,82,82
